s1-f1,s1-f2,s1-f3,s1-f4,s2-f1,s2-f2,s2-f3,s2-f4,s3-f1,s3-f2,s3-f3,s3-f4,s4-f1,s4-f2,s4-f3,s4-f4,s5-f1,s5-f2,s5-f3,s5-f4,s6-f1,s6-f2,s6-f3,s6-f4
0.0002631293764246335,3.7887322266934284e-07,4.161488724339056e-09,3.767596090920723e-08,0.00014285549438803444,4.783966063553779e-07,2.7355197006370535e-09,1.2759937388442994e-08,0.00011314433077701733,3.2857407292764146e-07,8.310701221652857e-10,5.623465427747242e-09,0.00017063953934907898,2.1828620203825091e-07,1.497780691338985e-09,1.2847620376656983e-08,4.973234826304016e-05,3.55297024394523e-07,2.65036458437586e-10,7.247478302381548e-09,0.00015217480481555302,9.821678063399578e-08,7.506671609477848e-10,7.923104223392839e-09
0.0001366203703746436,2.559346915774897e-07,5.972997118963399e-09,6.986804364392863e-08,5.2656715728927004e-05,4.87248633050567e-07,2.1711690123994264e-09,2.2668421179487896e-08,4.287998714165862e-05,2.5264027761020716e-07,4.468310906789368e-09,1.2872376707775849e-08,9.00967732317925e-05,1.4974195485393935e-07,2.2703216741595677e-09,2.414077414548205e-08,1.029592322279084e-05,2.826538662842443e-07,3.685148590201231e-09,1.4631748949676352e-08,7.721407099783811e-05,1.118050122752097e-07,1.599190664923961e-09,1.7391514750776826e-08
1.5060798482465548e-05,5.420983689711373e-07,2.0807807980344162e-08,3.2466052039774216e-08,3.972257838897827e-06,5.483204986161025e-07,9.813822708692734e-09,1.2152094381553401e-08,7.676131412786935e-06,3.408589266153625e-07,9.527892826867678e-09,1.2164922590757767e-08,1.0400899352396824e-05,3.0212055734418307e-07,7.754797914871835e-09,1.1600058161499376e-08,1.840038397450089e-07,3.5226633698400136e-07,7.351269452841613e-09,7.647517919656417e-09,8.035274475595405e-06,3.387497681337026e-07,4.834864142099485e-09,9.484961383016592e-09
3.4952643625030666e-05,1.8190723641317941e-07,1.909092025686915e-08,1.716754772794643e-08,1.5230611219247563e-05,2.2248223429643834e-07,9.061889345696023e-09,6.095334498502242e-09,1.8220857930705456e-05,1.224401593243002e-07,8.96675514551782e-09,5.57028140245792e-09,2.338330122299054e-05,9.959932241636591e-08,7.096718774353767e-09,6.330748733552823e-09,1.8344908574433995e-06,1.5644467926854634e-07,7.1862695015027974e-09,3.595769604096989e-09,2.097757604579634e-05,6.224903926070488e-08,5.223269969921937e-09,4.106525972402274e-09
0.00011722970782080578,2.0408600747792866e-08,1.7026087984353678e-08,4.147717438648187e-09,8.506240634819236e-05,1.530869966902106e-10,9.872859457091872e-09,1.4089782149585633e-09,7.928747388638201e-05,1.623358669657322e-08,6.0153969502342125e-09,1.985785274618279e-09,9.979766439381543e-05,3.650307779139091e-08,6.397430138675416e-09,4.5021586676820304e-11,3.687678853688647e-05,2.8505690831810244e-09,3.221626310648937e-09,4.753778328922172e-10,8.722600827576249e-05,2.8910768005374636e-09,5.9682792755627345e-09,6.403455047900865e-11
3.086927664325654e-05,1.5973936200502138e-07,1.102943748653513e-08,1.5191266069548743e-08,1.8110463360949112e-05,1.5155555470250343e-07,5.330436315407889e-09,6.8712871704738175e-09,1.881429237091788e-05,9.87810860449404e-08,5.157581609752642e-09,5.8381639300480794e-09,2.1416481080658233e-05,8.044112521274831e-08,4.073457068718296e-09,6.316378052739346e-09,6.4276637147415e-06,1.0841788850209844e-07,3.9265081047108645e-09,3.917782875820795e-09,1.9052168329677576e-05,8.668830654503975e-08,2.6965851157743188e-09,4.630068174888359e-09
0.00022921342571023868,9.752837916612194e-08,8.317877754996926e-09,2.3056110091715027e-08,0.0001274796566720977,1.9335307738078013e-07,5.146930429468114e-09,7.723646294014091e-09,0.0001368282897100707,6.961507062363967e-08,3.0255214437813423e-09,7.324519264303744e-09,0.0001536121695793206,4.9260240841326615e-08,3.055068992031776e-09,9.118596514783265e-09,7.015192826554571e-05,9.784851465673293e-08,1.3577994832014375e-09,5.407479351496986e-09,0.0001313550516713265,1.0862981065915888e-07,2.77923172195952e-09,8.228537817562916e-09
0.00029874350788518125,3.460697929639464e-08,1.1529668133578055e-08,1.1867832920226623e-08,4.864349115758382e-05,4.5875263410311803e-07,1.0489197790871606e-08,1.2374107209934787e-09,0.0001282577246134162,1.4542729964629361e-09,3.275934346672126e-09,2.4884040182258765e-10,0.00018310242784158566,1.6307987763198793e-08,4.261745023195119e-09,3.837468923297673e-09,1.0349512200516117e-05,3.3334894692649526e-08,5.680842092249423e-10,5.135253742330669e-10,0.0001542361366762248,1.5158006818135605e-08,4.437445289365466e-09,5.011966525702183e-09
2.110031463107341e-05,7.93275990838047e-09,1.937533049645382e-09,1.550217273218745e-10,1.5182638472795409e-05,3.2980704050683475e-08,1.403349073958941e-09,1.3000081997587692e-12,1.2196463454770353e-05,4.04529855900356e-09,3.520709064056657e-10,2.810727417483212e-10,2.5029715149704233e-05,4.5099863378428176e-10,7.556843205644736e-10,6.560349163967392e-10,1.7537637911691227e-07,1.8849441151628288e-08,5.6271696660465695e-11,7.391513184609293e-12,2.2329658858260063e-05,2.9228736369598997e-08,9.72685130572635e-10,9.580490604776205e-10
0.0005454517383024288,3.3999691894390976e-07,1.5346309974127121e-07,6.621464783691579e-09,0.0003595916372056526,1.422110008582496e-07,8.09207602313322e-08,2.231742377600016e-09,0.00034486493868206004,1.8720996070897887e-07,6.519140720709934e-08,1.8317340991644133e-09,0.00035556031262890783,1.8337959818453e-07,5.6555418529435575e-08,2.2420107023554977e-09,0.00025234045595501006,1.230133273254273e-07,4.083448853996389e-08,1.4623225908335198e-09,0.00030902587526330903,1.2852433593354687e-07,4.065883625496232e-08,2.144626233750476e-09
0.0005735689083394703,6.712045927501911e-07,1.53970679895806e-07,3.1700132813036354e-09,0.00026596792422398574,4.977021386511228e-08,8.734803102142373e-08,2.9708186134451264e-10,0.00036787972196164465,3.838221351728025e-07,6.585234947529428e-08,8.34123959090466e-10,0.0003729843122920229,3.6079447702613857e-07,5.671320197729309e-08,9.666831940186433e-10,0.00010720615464743695,1.0805993662001113e-07,3.312476479411583e-08,2.468199382855538e-11,0.00032527576692356906,3.0217950695536807e-07,4.0182356070782014e-08,9.456442211647036e-10
9.681148703451895e-05,9.59050610001215e-07,1.6466463472001905e-08,3.6752252758141662e-09,3.01992534419776e-05,3.53261422053214e-07,2.7317226497264933e-09,2.8464182041041193e-08,8.273335393698102e-05,6.052636908014113e-07,4.668967641501386e-09,4.225234856775893e-09,3.787077697017037e-05,3.84941072683639e-07,6.232861775105466e-09,1.3944919280481431e-11,5.020983150551997e-07,2.0077481303891564e-07,7.24652625200652e-09,1.8774947721215645e-10,2.3157270654588123e-05,1.7046938993103885e-08,1.814973389443685e-09,1.428838896897019e-09
0.00018986250764340166,5.08948879133761e-06,4.2431377890964346e-08,1.981054019826201e-10,0.00011251429538581074,2.8675082370301194e-06,2.3228032875406213e-08,1.682236605261047e-11,0.00011736186541788247,2.995736728258455e-06,1.7530802131148215e-08,1.255828702584974e-14,0.00012754971997475716,2.824332502014007e-06,1.563496866589247e-08,1.1515612820519234e-10,6.965645839559817e-05,2.296006859166051e-06,1.0341758900322928e-08,1.165259750673395e-11,0.00011035342293782446,2.2717980283598256e-06,1.1533696754404943e-08,2.1730051257872978e-10
2.1896589100287298e-05,3.4450995188991776e-06,2.2069347355769366e-09,4.0495080569015424e-08,3.598239840453883e-05,2.3911513233813413e-07,3.995709439618969e-09,8.75843969253431e-08,1.7973120299077305e-05,2.0714769434128247e-06,1.5958087867305046e-09,1.4752936696909276e-08,6.401405221403692e-06,1.7403475568023124e-06,8.109492671095697e-10,2.06758362765591e-08,0.00013235536297205163,6.605051043935436e-07,5.102601197891194e-10,2.8976537740496386e-08,4.275731013460586e-06,1.0784143871884527e-06,1.0910764277438359e-09,1.0938403736235874e-08
0.00036585036472746473,2.2721068638688847e-07,3.032976221597121e-08,3.5706626940825623e-08,0.0002371886048708095,2.3200821336369665e-07,1.6457863798544113e-08,1.553216840443183e-08,0.0002260324733320061,1.5162569595170487e-07,1.2316689254789068e-08,1.2505585268826013e-08,0.0002387870987017915,1.2411098944229062e-07,1.1161760199165736e-08,1.3171024682628382e-08,0.0001431678564102714,1.7002401932797876e-07,6.967976222496654e-09,8.699468037746453e-09,0.0002103598254683112,1.0684419354488319e-07,7.906324452164811e-09,9.581815471859795e-09
0.0003915713015609806,8.207099250344747e-09,4.729953051762471e-08,9.880515628979472e-09,0.0002589373134230748,2.2221303912021363e-08,2.517208381978664e-08,3.8522310183394035e-09,0.00025837411960663684,5.348938053563665e-09,2.0360854456756263e-08,3.987455948025512e-09,0.0002512787814254555,4.5674224710149986e-09,1.7458119923056998e-08,3.5918967858452864e-09,0.00017697736802367673,1.3729628156507338e-08,1.2040946918538293e-08,2.273054879760031e-09,0.0002227175455076454,3.993787452663005e-09,1.2290404048953312e-08,2.6449886704275925e-09
0.00013333111277510516,2.472306156379269e-07,1.682679447231012e-11,3.2323772652419483e-08,8.313687651009855e-05,2.2827359486286633e-07,2.689829030014205e-13,1.427612498188312e-08,8.411423616338719e-05,1.5509222623993973e-07,1.991000906308026e-11,1.2697529773339103e-08,8.620694389936727e-05,1.362737465589632e-07,7.0912465992671145e-12,1.1804846865944794e-08,4.811990482072668e-05,1.6393086332982724e-07,7.645867779455791e-11,8.04658082525312e-09,7.62179717540971e-05,1.1466375911993088e-07,4.398262004359515e-12,8.353615437108114e-09
0.00018797332676494396,6.18488591428343e-08,2.101954237708316e-08,1.730035355669934e-08,0.00010708357865773423,2.9183113127509453e-09,1.1859892610962114e-08,5.8578655371934305e-09,9.717507954881365e-05,2.0640648918156848e-08,7.713194128794695e-09,3.4907141300457487e-09,0.0001242817895146747,3.4367909271085544e-08,7.723889401513775e-09,6.361797556113539e-09,5.689909882284543e-05,7.353704363404581e-09,4.478285532778154e-09,3.819843914827761e-09,0.00010628309632581237,8.849036629175152e-09,6.0626866698756765e-09,5.591864713569199e-09
0.0001855386257845375,4.55692107643559e-07,5.139619743643329e-08,8.74688469418587e-09,0.00014929806450119854,3.411451080085832e-07,2.641467544789507e-08,6.3858637919453715e-09,0.00010531482715120669,2.450141207675177e-07,2.0153411272751088e-08,1.8320170984848592e-09,0.00012658299147779733,2.8489672678385874e-07,1.912764782205044e-08,4.75899571451472e-09,7.976065065111839e-05,1.8933655568400107e-07,1.3013910218203103e-08,2.6617844712107932e-09,0.00011487407508911986,2.0189776160151352e-07,1.3746574258304802e-08,3.4045629479105957e-09
0.00016619548075739505,6.564115119420443e-09,3.1016668612076535e-08,3.491134213838929e-08,0.0001553730872576321,1.5741434349418132e-07,1.2705551419788532e-08,2.125685784354708e-08,4.536049028945e-05,9.941742644654508e-09,1.188971828260825e-08,2.6287785184571304e-09,7.550586377494887e-05,7.175157712859161e-09,1.103568699276461e-08,3.3419947990393516e-09,0.00016658753756880771,1.5172641086508455e-08,1.2618709124737503e-08,6.577871843543255e-09,5.654321608792354e-05,3.150128815164698e-11,7.71130738397716e-09,3.3315193390171614e-09
0.00023588988165094784,2.908021309175896e-07,1.6907846362070185e-08,1.9731041039535582e-07,0.00013432549781549182,2.1276380535319023e-07,7.859075023314911e-09,8.131482206907261e-08,8.446193392038907e-05,7.19231303785823e-08,6.809287592989592e-09,5.2820400201933304e-08,0.00010979116058435988,5.577692427350519e-08,5.87959517947122e-09,4.24737131798204e-08,0.0002186154699135487,1.9371747571637543e-07,7.87287176588316e-09,4.564000195841341e-08,8.570265274473046e-05,1.6345141367251784e-07,3.487335372238388e-09,3.053161032501912e-08
0.00015070607921565998,1.7499116680393366e-07,2.7536221594304137e-08,7.128393954621505e-08,0.00015651376044445396,5.10723879290679e-07,1.090059620755881e-08,4.522649712435797e-08,3.058359445573119e-05,1.8899603977582515e-08,9.451347951365136e-09,7.984491339887375e-09,7.443934650965782e-05,2.8616520546590622e-08,9.681318309587437e-09,1.1554514497831434e-08,3.9155596083284905e-05,2.8753050057819004e-08,7.196465065097468e-09,1.1295316696106795e-08,6.272414105921328e-05,4.1776573079207823e-07,3.892086045584936e-09,4.877737565514793e-09
4.3680183894359066e-05,1.314603695214655e-07,2.666067165795727e-08,7.948607331772231e-08,2.368154538497306e-05,1.2472103872758436e-07,1.2618373674272096e-08,3.299361959859211e-08,5.9559734977277835e-06,2.304776410274628e-08,1.0695857365002942e-08,1.6915895043602057e-08,1.5217929663528617e-05,2.01342693645604e-08,9.503635830431548e-09,1.4889028289584943e-08,2.2452862002808557e-05,4.760257038447541e-08,8.62931492667269e-09,1.530282550653498e-08,1.2592721649484853e-05,2.624187878988717e-07,4.334570940555125e-09,7.294467413422993e-09
2.4446526172968393e-06,6.728679215606458e-07,5.297486807677872e-09,4.494182889061568e-10,2.2528260690071457e-05,1.1484451738224113e-08,6.842630599816514e-10,4.477214805210916e-09,4.592922397358673e-05,7.255668872643436e-07,7.451720185472995e-10,1.4686848321423208e-08,3.0733115528986552e-06,5.25680649827796e-07,1.733387560722302e-09,3.2839606018372758e-09,1.8291145050215906e-05,1.788227153829795e-07,3.91793061612623e-09,1.258548477169853e-10,5.599445564843507e-06,2.2114329161385797e-07,8.601468135850248e-10,1.9726163336647465e-09
8.032990778923599e-06,4.777589093692144e-08,8.61193227302796e-08,6.937847224858681e-08,1.0242849820790722e-05,1.1410854600845326e-09,4.062072140510877e-08,3.425991640611238e-08,8.606174348072246e-07,5.615852986633173e-08,3.8537063917714405e-08,3.894911799474984e-08,6.046813615231925e-07,6.742493279052188e-08,3.1587413964515186e-08,3.851975687530937e-08,1.1576704197147728e-05,1.8846572023617753e-08,2.780914408513679e-08,2.4474396166836802e-08,8.999479336439671e-07,1.4413862063087388e-08,1.749277516273233e-08,3.4310702775641556e-08
8.157065234811781e-06,6.185589032878285e-08,1.6684278763337216e-09,1.0110490938125861e-10,4.507611977474036e-06,9.402720977259179e-08,5.9793524933766e-10,6.279891967435081e-11,3.6022413639292847e-06,3.943639578285635e-08,1.2371541285764009e-09,1.8833720210235368e-11,9.819199210161935e-06,1.574974138964922e-08,5.909686426636946e-10,8.136006788515006e-10,1.0974041806855815e-08,5.34731336691148e-08,1.1010729003121468e-09,1.1343058596448758e-10,8.25225224077814e-06,1.0185479403258339e-07,1.2607097462343953e-10,1.2638918296064617e-09
9.23435266952843e-07,3.1315716505326876e-08,3.9176284041464616e-08,3.770817029086533e-08,5.753919107234695e-08,2.800573442563578e-08,1.912765709238567e-08,2.690931243490483e-08,5.849068749252109e-07,1.3717981627831532e-08,2.013091092747487e-08,1.534423676122818e-08,7.213498313794947e-07,2.551751751662079e-10,1.4224956956389233e-08,2.600627529010297e-08,4.604428577252557e-06,1.998633190466908e-08,1.3750992997755816e-08,1.499491703446822e-08,7.656227110874736e-07,7.325309852412444e-08,7.936760801513196e-09,2.120241871149656e-08
0.00021162554667034295,1.4095475814290088e-06,4.029877698952866e-08,1.3901940738524298e-07,0.00012177172653516117,9.976853990811842e-07,1.9336879431330314e-08,5.5744060252584026e-08,6.949694603202255e-05,5.811686432749047e-07,1.641455192744342e-08,3.2066849056466307e-08,9.608430814428904e-05,5.188518691554786e-07,1.436242482524512e-08,2.6954812211822295e-08,0.00011214791086290609,6.117151800664934e-07,1.3018892879296147e-08,2.704067276623977e-08,7.721717544637179e-05,8.663799190229728e-07,8.288232847936833e-09,1.7628440689215164e-08
