s1-f1,s1-f2,s1-f3,s1-f4,s2-f1,s3-f1,s4-f1,s4-f2,s5-f3,s6-f2,s6-f4
8.98894575738955E-07,1.54940815173201E-08,9.03194461739889E-17,1.06373623088379E-10,1.2396273720302E-06,4.02243454541764E-06,1.70812670921626E-07,1.82393059316337E-09,8.36567129638075E-13,1.6129368243841E-08,2.31544433049926E-09
6.03562590851313E-07,2.55257391857011E-08,1.35609173533601E-17,3.0263400540707E-13,5.74536165454237E-07,3.35909671639597E-06,1.252840543717E-07,2.76539583059246E-09,7.61618980562446E-14,4.14044979619609E-08,1.81597649770527E-09
9.6123049018064E-08,6.33809436780237E-09,1.05637495233442E-14,1.07345498457869E-09,2.22287546770994E-09,5.70411616810292E-08,3.73389981974876E-09,2.0497654381319E-10,1.16081168750941E-09,1.44178161205267E-07,2.83072659829191E-09
5.73156910185655E-06,6.65604950198542E-09,1.23309376423258E-16,5.10787456036565E-11,8.09356013520083E-06,1.24012402683332E-05,4.42508726759869E-07,5.74211355207406E-10,3.64564708752243E-11,2.87689554839049E-08,2.68422988490324E-11
3.65664009564505E-06,1.84994711794383E-08,7.46476648388118E-15,2.9962634139104E-08,5.83685731984055E-06,6.71320734802375E-06,3.20773748853339E-07,1.67861831511412E-09,8.79390127395255E-10,1.09591107027702E-07,1.92821647302529E-08
1.02355947909964E-06,1.34136708905437E-08,2.75619284843313E-14,2.44978127378572E-08,6.39721207150795E-07,6.09692518966044E-06,3.95156904998159E-08,1.04447303716002E-09,3.09156002889083E-09,2.21861735171393E-07,1.1960964688404E-08
4.01583731555576E-08,3.51094534536377E-09,1.00604782489819E-15,8.63553337736452E-09,2.13605014662263E-06,1.58900701621765E-06,2.67491975669569E-11,4.49171073402439E-10,1.57421559703772E-10,9.19382365407663E-09,2.40761667168351E-09
4.73851561864924E-06,1.77311353535392E-08,4.82668806884277E-15,8.32668550304847E-09,8.35491288050898E-06,1.06790788796813E-05,4.03769249487485E-07,1.57584518116075E-09,5.43729560996978E-10,1.11404690559983E-07,6.27514083390923E-09
3.9812768213931E-06,3.55733504913893E-10,3.95094240857679E-15,3.24486913207312E-08,1.10137323456216E-06,5.27575889517313E-06,1.29879245394301E-07,1.8646886146606E-10,2.14041574602838E-10,7.99093730815277E-10,1.02382795641986E-08
2.77725629960208E-05,4.42126433938408E-08,5.54770171892985E-14,3.41999610488823E-09,2.90237394374613E-05,3.93966916908684E-05,2.23426727075352E-06,3.48512276536067E-09,5.45170086050032E-09,7.81198293445386E-07,1.39398127568414E-09
2.687926509659E-05,9.11946145366528E-08,1.74276000016226E-14,4.67264258701765E-08,2.51584089945592E-05,3.6586975880524E-05,1.79042019682992E-06,6.32821035202187E-09,1.91445694980282E-09,1.09736869528226E-06,1.96011978297628E-08
1.02538261297935E-06,3.99728697816728E-08,2.17113645910662E-16,7.73942646229281E-09,7.34386556083847E-06,2.22695525701923E-08,4.63781982073366E-07,1.54631885568262E-09,1.31709948452227E-11,2.01483153011356E-08,7.5407670085231E-09
