"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(5, 0)","(5, 1)","(5, 2)","(5, 3)"
0.0005741543927523734,1.1014500593431728e-06,1.2956692118236465e-07,1.2056064720900922e-07,0.0005445481880162767,9.7845242498759e-07,1.3095827073384338e-07,1.0973565066702063e-07,0.0005591047913221439,1.0674766002744226e-06,1.2922566545067762e-07,1.1406169951781349e-07,0.00056852903320001,1.056149293513479e-06,1.2910726902043638e-07,1.1226265844691765e-07,0.0005275741718885025,1.0165462507347958e-06,1.2622475250024178e-07,1.1227148475052143e-07,0.000559629845310433,9.984560471734922e-07,1.3165302979184623e-07,1.1846116481965036e-07
4.055456454859421e-05,8.421094707639976e-07,1.4118826177540972e-07,6.075901057750407e-07,1.7027456253303914e-05,4.800581266721111e-07,1.3559226440435393e-07,5.229373888037022e-07,2.504108126111876e-05,7.233187063389448e-07,1.4473716707795303e-07,5.439738660528028e-07,3.294622585878187e-05,7.469097969637774e-07,1.417888154767748e-07,5.623011289464295e-07,3.5034169848567323e-06,5.42609981737829e-07,1.594130316498313e-07,5.37203680464155e-07,3.0385652390863125e-05,7.010564971107793e-07,1.3897104847432982e-07,5.781163025272068e-07
7.882510352886992e-06,1.2155049916153798e-10,4.7237419233082195e-09,1.7871486638888677e-08,2.6234033375532874e-05,1.8906982547809942e-08,7.459779629836067e-09,1.8084231907292228e-09,1.0848601998861671e-05,4.806724801882742e-09,5.694133833809433e-10,1.854162598356449e-08,5.31649525986988e-05,1.334466855628534e-07,5.508980985211029e-09,5.606901460627835e-09,3.6305711342217428e-06,2.2586045759113974e-09,6.841702984653741e-10,3.434539228725314e-11,6.0379007877947236e-05,9.913922281256876e-08,1.3621454645160764e-08,1.2544802901560575e-08
1.8380160149260596e-05,2.0356725422501064e-06,1.2577945790228826e-07,7.435840252597453e-07,9.208297442085704e-07,4.719309047924487e-06,1.0336077052031612e-07,5.634939927986088e-07,3.9238294740269335e-06,2.840895680179214e-06,1.7426262318469727e-07,4.2796198187638006e-07,3.5609735468519376e-05,1.960804155789595e-06,1.2769613817675008e-07,7.678368938168028e-07,0.0001594964689257427,1.2041124427632068e-06,9.514975438993677e-08,8.82398910665783e-07,3.4250841989856376e-05,9.991773656611207e-07,1.4729109996622518e-07,7.195923469709792e-07
4.9353711359270364e-05,3.0137037373174078e-06,1.887512747672188e-07,7.539349502235589e-07,1.3443650739138402e-06,5.259685057947397e-06,1.7385317191916953e-07,5.156006567136128e-07,1.5122830042229033e-05,3.600475338428437e-06,1.9311874386316468e-07,5.991495916448e-07,2.729860773119666e-05,3.659983951390769e-06,1.9161546745087832e-07,5.928629047268361e-07,0.00015830063095242664,2.4625256259852342e-06,1.4643371799536939e-07,7.114030795514824e-07,2.4989295305916572e-05,2.145421411583409e-06,2.1762742356465608e-07,5.508928415911416e-07
5.545006098424468e-06,1.2254645234133182e-08,9.641566099667767e-11,1.2095022973097095e-09,2.6643222156476367e-05,7.543408738687356e-09,4.855405337033511e-10,4.078105016209521e-09,4.29111702646195e-06,2.3166094883749814e-08,1.3619513740420827e-09,3.6745414157450447e-09,3.952581311295197e-05,2.0961713901606686e-07,2.3550193807251053e-10,2.4874716985217808e-08,5.581641222731828e-07,1.7969762808039473e-08,1.137903262159341e-09,5.764303168258236e-09,4.8929826801653894e-05,1.8082745946553394e-09,1.901499820202751e-09,2.959824189177843e-08
4.9659894636816973e-05,2.942478563245302e-07,2.3783183587232743e-08,3.2646301458129867e-10,0.00010145228799185343,3.631197942528131e-07,2.6018144566076332e-08,1.3567912056730863e-08,4.00677046398608e-05,3.1056546463882035e-07,1.2182735364369303e-08,3.790449154133399e-10,0.00010982921853803262,6.944760161960194e-07,2.5134554813675926e-08,3.215129331776832e-08,2.2121576061132336e-05,2.7659249461224135e-07,1.2299898285127375e-08,1.1308453127336842e-08,0.00012142882988335353,1.835861243938811e-07,3.301036744978899e-08,3.690922580796676e-08
1.0809474172846308e-05,7.948215862154097e-07,3.182866186251881e-08,9.664898771530994e-09,7.859981568887096e-06,3.035568787409065e-07,2.436424091689482e-08,1.277297372269314e-08,3.27827370249521e-05,1.0735262339598937e-06,3.619398323445843e-08,2.7448771680928135e-08,4.032964678219657e-05,1.2935497795403175e-06,3.066704380194658e-08,5.497680473617205e-08,2.0548689147293865e-05,9.988545198375633e-07,3.800140118470024e-08,3.7909333211756466e-08,4.009540924805416e-05,2.3540601471263604e-07,1.6992932745367844e-08,8.266101927821053e-08
2.2899427080007974e-05,3.6003821940464403e-07,5.967868389874052e-09,1.4475863729111363e-11,4.9488255248515484e-05,3.466167372865152e-07,7.480087282579814e-09,5.553734620318902e-09,3.150851499516556e-05,4.592133689352864e-07,2.4703624144876156e-09,1.0532787285652783e-10,6.41069927749025e-05,7.440570837233085e-07,6.540663701491993e-09,2.0066299674396984e-08,1.0022752175900575e-05,3.6560770761882914e-07,1.6745567234308746e-09,6.461828196378059e-09,6.706078986819671e-05,9.363092552537087e-08,1.378489253011186e-08,3.228727306148952e-08
8.984958063557217e-06,3.2420168957802787e-07,3.1222848010498925e-10,6.733399012379856e-11,1.7210139504616534e-05,2.1525886966702424e-07,3.4615523816406804e-11,1.6847056691105581e-09,2.1099036246847052e-05,4.5391291504806717e-07,1.1169008894322455e-09,1.082340110978901e-09,3.3387498111005815e-05,6.229346464855593e-07,2.197422398276684e-10,1.2896904250090146e-08,6.7843070636027346e-06,3.7202758707409067e-07,1.782174490895031e-09,4.79186359134202e-09,3.081114665457664e-05,3.0555173971682715e-09,1.3910476935619008e-09,3.2688763452519904e-08
