s1-f1,s1-f2,s1-f3,s1-f4,s2-f1,s2-f2,s2-f3,s2-f4,s3-f1,s3-f2,s3-f3,s3-f4,s4-f1,s4-f2,s4-f3,s4-f4,s5-f1,s5-f2,s5-f3,s5-f4,s6-f1,s6-f2,s6-f3,s6-f4
1.190416411181986e-06,6.498547297273256e-09,6.739759638931688e-16,1.1171147223150684e-12,4.1818491922943635e-06,5.7127556408861306e-08,2.5480015484466577e-11,4.1410520319927984e-10,3.6320048710530163e-06,1.1942875577113729e-08,3.043393184293462e-11,2.2158573109506193e-11,2.2714815713388116e-07,1.0092632621632667e-09,7.181000791439502e-13,1.2474217437732107e-10,1.7520540676599785e-06,1.0837909138742782e-08,1.759985508921245e-11,7.343604885860138e-11,1.5102775791076157e-07,1.620103131825907e-08,1.8066258086851782e-10,1.2548306377103172e-09
4.6707900137721284e-07,5.851712123958861e-09,3.5261248587638555e-17,5.196221316192946e-12,1.4542886514232662e-06,3.547784020956182e-08,1.1791360842794496e-13,1.2561734240696338e-10,2.4320981942446498e-06,1.1805025362900545e-08,1.3759797082787272e-11,2.2769958063375662e-10,1.1830080212708032e-07,8.449688433587075e-10,2.4125521050030817e-14,8.017361970054921e-11,1.1859489867084795e-06,1.1028217134903372e-08,1.873093478683722e-11,5.4457580443687406e-11,6.938985369910171e-08,5.28698533815038e-10,1.8230846985649495e-11,1.2704343848106608e-09
8.988945757389548e-07,1.54940815173201e-08,9.03194461739889e-17,1.0637362308837858e-10,1.2396273720302043e-06,6.430831689778526e-08,7.99208021229155e-12,2.1447739838552945e-10,4.0224345454176415e-06,2.806021020841487e-08,2.0134353081898273e-12,1.4435271227038072e-09,1.7081267092162643e-07,1.8239305931633708e-09,1.1008096507646172e-13,1.7192025616963503e-10,3.8634954041214774e-06,2.988115235348164e-08,8.365671296380746e-13,1.7242561904214225e-10,1.0083627891812488e-07,1.6129368243841026e-08,1.1145574027051663e-10,2.3154443304992623e-09
6.035625908513132e-07,2.5525739185701147e-08,1.3560917353360124e-17,3.026340054070697e-13,5.745361654542374e-07,1.1438592380808468e-07,3.7527067498785186e-12,3.943188523298604e-12,3.3590967163959677e-06,4.47031379611232e-08,4.1445693413219966e-14,6.556259665176501e-10,1.2528405437169988e-07,2.7653958305924563e-09,2.512632753159367e-14,1.1228685558030213e-10,3.97476337719903e-06,4.979362549624943e-08,7.616189805624456e-14,9.47642758965468e-11,7.50072029152604e-08,4.140449796196088e-08,8.558224642602196e-11,1.8159764977052658e-09
9.612304901806397e-08,6.33809436780237e-09,1.0563749523344237e-14,1.0734549845786925e-09,2.222875467709943e-09,7.323406225331454e-08,2.9866769791411396e-10,2.0522350414200914e-09,5.704116168102919e-08,7.3700308654322114e-09,1.314204338371124e-09,3.5277633329006854e-09,3.733899819748761e-09,2.049765438131904e-10,1.0064457888871258e-11,3.315321684335659e-10,1.0135979558445946e-06,1.0045093488889383e-08,1.1608116875094087e-09,3.8153153050670475e-10,2.7867966327780923e-09,1.441781612052669e-07,9.388275665381756e-10,2.830726598291906e-09
5.731569101856546e-06,6.656049501985418e-09,1.2330937642325793e-16,5.107874560365651e-11,8.093560135200826e-06,3.525813697509377e-08,2.2086954207040482e-12,1.0165114942697276e-10,1.2401240268333235e-05,9.659225259592008e-09,2.0182040927793485e-11,2.192088359162598e-10,4.42508726759869e-07,5.742113552074063e-10,1.1788154629715147e-13,1.9546825429079618e-14,9.05674289563421e-06,7.287031850269336e-09,3.6456470875224303e-11,9.433797069969493e-12,2.6959123297772276e-07,2.8768955483904936e-08,2.6356152638471312e-12,2.6842298849032433e-11
3.6566400956450513e-06,1.8499471179438246e-08,7.46476648388118e-15,2.9962634139103977e-08,5.836857319840553e-06,1.316024651590356e-07,2.1113571944295082e-10,2.9729157969239173e-08,6.713207348023751e-06,2.576203848551099e-08,9.403395455874926e-10,7.41470636748475e-08,3.2077374885333887e-07,1.678618315114116e-09,7.166595107890028e-12,2.862632346140809e-09,4.111871668655521e-06,2.4237148094721185e-08,8.793901273952549e-10,4.597134406958776e-09,2.03465938956299e-07,1.0959110702770167e-07,7.16108305190275e-10,1.9282164730252865e-08
1.0235594790996438e-06,1.3413670890543737e-08,2.7561928484331267e-14,2.4497812737857155e-08,6.397212071507951e-07,1.7288471916016492e-07,8.488134822336386e-10,2.742115146485504e-08,6.096925189660436e-06,1.4518087682009999e-08,3.384894622946264e-09,4.620065013027205e-08,3.9515690499815926e-08,1.0444730371600235e-09,2.6994169284915397e-11,2.0303580579816914e-09,2.2318914135371327e-05,1.1284235596478726e-08,3.0915600288908264e-09,3.283543087739323e-09,2.6675085121576015e-08,2.2186173517139346e-07,3.4413203901494994e-09,1.1960964688404039e-08
4.015837315555758e-08,3.510945345363768e-09,1.0060478248981906e-15,8.635533377364522e-09,2.1360501466226293e-06,1.8869443579728442e-07,4.6469454948186574e-11,2.676346991259922e-09,1.5890070162176542e-06,1.1187121742296837e-08,5.907312709280703e-11,7.583837224586813e-09,2.6749197566956926e-11,4.4917107340243883e-10,9.011133717008422e-13,4.1892873946114616e-10,2.2932577287912237e-06,3.945380146982301e-09,1.57421559703772e-10,1.1164218865869838e-09,3.2283169227994256e-10,9.193823654076628e-09,6.592410210231669e-11,2.407616671683514e-09
4.738515618649241e-06,1.7731135353539176e-08,4.82668806884277e-15,8.326685503048466e-09,8.354912880508978e-06,1.4596322254380604e-07,1.3858315475747327e-10,8.962452297346614e-09,1.0679078879681289e-05,2.646065569808877e-08,5.842803925659776e-10,2.2445342515394766e-08,4.037692494874845e-07,1.5758451811607471e-09,4.644653387975929e-12,8.811332259445134e-10,1.031098670940072e-05,2.6383153933614228e-08,5.43729560996978e-10,1.382914375521398e-09,2.5241078548126894e-07,1.1140469055998298e-07,4.5388395895201857e-10,6.275140833909232e-09
3.9812768213930995e-06,3.5573350491389305e-10,3.950942408576793e-15,3.2448691320731175e-08,1.1013732345621623e-06,4.747628168377726e-08,1.0821768005423118e-10,1.9263023589918653e-08,5.2757588951731336e-06,1.786580732806301e-09,3.736776203111474e-10,7.442152252356778e-08,1.2987924539430076e-07,1.8646886146606032e-10,3.984826499969445e-12,1.6857202810507692e-09,2.597435690348723e-05,1.3705713419339e-10,2.1404157460283815e-10,3.9365015197079775e-09,7.045690305067701e-08,7.99093730815277e-10,5.634212073031181e-10,1.0238279564198611e-08
2.7772562996020813e-05,4.4212643393840756e-08,5.547701718929851e-14,3.419996104888229e-09,2.902373943746133e-05,1.2890456786484525e-07,1.8248945435707787e-09,9.993967431333788e-10,3.939669169086844e-05,4.9518762628955876e-08,5.201651947458408e-09,6.391489976837231e-10,2.234267270753515e-06,3.485122765360669e-09,5.348149636136821e-11,3.307256699158379e-10,0.00013236730161894183,9.095656806096557e-08,5.4517008605003245e-09,8.253669427195087e-10,1.4181286450877832e-06,7.811982934453857e-07,5.75037649909218e-09,1.393981275684138e-09
2.6879265096590023e-05,9.119461453665283e-08,1.7427600001622637e-14,4.672642587017647e-08,2.515840899455924e-05,4.332043554419182e-07,5.913601937344162e-10,3.124790255242014e-08,3.658697588052399e-05,1.067392253854283e-07,1.586937018731196e-09,8.098061707180273e-08,1.7904201968299164e-06,6.3282103520218665e-09,1.6679858696699866e-11,3.3040827334811123e-09,0.00012854378997449788,1.7022252958958545e-07,1.914456949802817e-09,6.973807329399453e-09,1.110680756102221e-06,1.0973686952822645e-06,1.7704783243086993e-09,1.960119782976284e-08
1.025382612979346e-06,3.997286978167284e-08,2.1711364591066175e-16,7.739426462292814e-09,7.34386556083847e-06,3.2917688240708235e-07,3.2418575682809014e-12,1.7001105358286355e-08,2.226955257019234e-08,6.83869143494087e-08,2.7303488189490257e-10,3.755269831566764e-09,4.6378198207336547e-07,1.5463188556826158e-09,1.9550064831739763e-13,1.8712255278394685e-09,3.0595215560411874e-05,3.208019616347788e-08,1.3170994845222737e-11,3.3579083480580818e-09,3.6930472511026986e-07,2.0148315301135556e-08,1.4008360922573514e-10,7.540767008523098e-09
2.780660253270442e-05,8.037440736091455e-08,3.934055575055237e-14,1.4667258775181589e-08,3.038049344480745e-05,3.5011938407107486e-07,1.312935593257805e-09,9.284213651966822e-09,4.056907437164861e-05,9.784099063035395e-08,3.57205153000705e-09,1.744286974419221e-08,2.261631710661638e-06,6.427468192779356e-09,3.797918158306452e-11,1.3858669531092763e-09,0.00013948717296476023,1.6078305257229354e-07,3.936176824836027e-09,2.9226507957903652e-09,1.4327241294682521e-06,1.0930806894165927e-06,4.190880887462229e-09,7.753810456068732e-09
1.5424535051364552e-05,1.102587352423288e-08,2.37847736219579e-14,7.7899279143484e-09,2.6931984950968435e-05,3.991126909917875e-08,7.906729366622855e-10,9.983267635289432e-09,1.868380905599384e-05,1.0655925644898049e-08,1.756374040477416e-09,5.047529124156271e-09,1.7508679661759293e-06,1.503211395759323e-09,2.3118294334288408e-11,1.3559679406580252e-09,0.00010124760678453627,3.707174725293469e-08,2.3241577908905e-09,2.5868947629332214e-09,1.186626319397973e-06,4.437295629136147e-07,2.259763409867795e-09,6.110397340924147e-09
