Networks,Residuals
Default,0.0003883790289027
Default,1.1595317801343476e-05
Default,3.4685690974447484e-05
Default,1.5358093933577263e-05
Default,0.0001058384756579
Default,0.0004868970321203
Default,0.0003998097176939
Default,1.4996743329537002e-05
Default,0.0005616602192021
Default,0.0002194538496252
Default,0.0002758724072584
Default,7.034254696136957e-05
Default,1.512685805834137e-08
Default,0.0001677819269354
Default,1.1546459288040516e-05
Default,0.0003021903315121
Default,9.237669454333292e-05
Default,5.049754338266048e-05
Default,0.0004223555651167
Default,0.0002273402124156
Default,0.0001682171982727
Default,0.0001004884375484
Default,0.0003181669778249
Default,0.0003066634436913
Ventral Attention,4.055456454859421e-05
Ventral Attention,7.034090125228975e-05
Ventral Attention,9.11523831975706e-05
Ventral Attention,0.0002159373991415
Ventral Attention,0.000482284411072
Ventral Attention,0.0006622999360205
Ventral Attention,0.000472334359677
Ventral Attention,0.0005769160961497
Ventral Attention,0.0003499076115016
Ventral Attention,0.0009784540079974
Ventral Attention,0.0008078880190214
Ventral Attention,0.0008489776378487
Ventral Attention,0.0003839078047833
Ventral Attention,0.0005003632049479
Ventral Attention,0.0009135729236543
Ventral Attention,0.0009606661556157
Ventral Attention,3.667442876736226e-05
Ventral Attention,0.0006127599636299
Ventral Attention,0.0006558397630183
Ventral Attention,9.155432286896526e-05
Ventral Attention,0.0006858990579903
Ventral Attention,0.0007970799708218
Ventral Attention,0.0006062651980479
Ventral Attention,0.0007240622952193
Ventral Attention,0.0002352343612748
Ventral Attention,0.0005779941765894
Ventral Attention,0.000238871413677
Ventral Attention,0.0005196042186187
Ventral Attention,0.0007877564481948
Ventral Attention,0.0006146347591075
Ventral Attention,0.0007230781586641
Ventral Attention,0.0010043164758096
Ventral Attention,0.0008188921283402
Ventral Attention,0.0008900562397899
Ventral Attention,0.0004417130419136
Ventral Attention,0.000319613815757
Ventral Attention,0.000519508398473
Ventral Attention,0.0008909626535852
Ventral Attention,0.0009508459786431
Ventral Attention,0.0006406947169288
Ventral Attention,0.0006500246891029
Ventral Attention,0.0002155374420212
Ventral Attention,0.0002252126980951
Ventral Attention,0.0005993454428371
Ventral Attention,0.0007165180786794
Ventral Attention,0.0005831854309433
Ventral Attention,0.0007394811865772
Ventral Attention,0.0002718289508493
Ventral Attention,
Ventral Attention,
Ventral Attention,
Ventral Attention,
Ventral Attention,
Ventral Attention,
Ventral Attention,
Ventral Attention,
Ventral Attention,
Ventral Attention,
Ventral Attention,
