"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(5, 0)","(5, 1)","(5, 2)","(5, 3)"
0.0005741543927523676,1.1014500593430106e-06,1.2956692118231451e-07,1.205606472089965e-07,0.0005445481880162721,9.784524249876106e-07,1.309582707338193e-07,1.0973565066700914e-07,0.0005591047913221416,1.0674766002743302e-06,1.292256654506116e-07,1.1406169951775883e-07,0.0005685290332000048,1.056149293513457e-06,1.2910726902040607e-07,1.1226265844686512e-07,0.0005275741718884985,1.0165462507347966e-06,1.262247525002369e-07,1.1227148475049091e-07,0.0005596298453104324,9.984560471734844e-07,1.3165302979182744e-07,1.1846116481959405e-07
4.0554564548593114e-05,8.421094707639831e-07,1.4118826177540048e-07,6.075901057749949e-07,1.702745625330327e-05,4.800581266721395e-07,1.35592264404327e-07,5.229373888036501e-07,2.504108126111805e-05,7.233187063388857e-07,1.4473716707788437e-07,5.439738660527751e-07,3.2946225858781546e-05,7.469097969637873e-07,1.4178881547671498e-07,5.623011289464006e-07,3.503416984856613e-06,5.426099817378506e-07,1.5941303164976412e-07,5.372036804640938e-07,3.038565239086283e-05,7.010564971107626e-07,1.3897104847432852e-07,5.781163025270716e-07
7.88251035288654e-06,1.2155049916060324e-10,4.7237419233078555e-09,1.7871486638881097e-08,2.6234033375532173e-05,1.8906982547778248e-08,7.45977962983551e-09,1.8084231907294782e-09,1.084860199886136e-05,4.806724801889458e-09,5.694133833807817e-10,1.8541625983547842e-08,5.3164952598697346e-05,1.3344668556285714e-07,5.508980985210357e-09,5.606901460627366e-09,3.6305711342214717e-06,2.2586045759143756e-09,6.841702984652401e-10,3.4345392287284433e-11,6.0379007877948706e-05,9.913922281254422e-08,1.3621454645147742e-08,1.2544802901557782e-08
1.8380160149260454e-05,2.0356725422498836e-06,1.2577945790222852e-07,7.435840252596399e-07,9.208297442085843e-07,4.719309047924508e-06,1.033607705202928e-07,5.634939927985414e-07,3.9238294740267286e-06,2.8408956801791286e-06,1.7426262318465754e-07,4.279619818762955e-07,3.560973546851854e-05,1.9608041557895396e-06,1.2769613817669706e-07,7.678368938166689e-07,0.00015949646892574263,1.2041124427629885e-06,9.514975438991741e-08,8.823989106656749e-07,3.425084198985453e-05,9.99177365661037e-07,1.4729109996620938e-07,7.19592346970873e-07
4.93537113592695e-05,3.0137037373173853e-06,1.8875127476721704e-07,7.539349502233874e-07,1.3443650739136888e-06,5.259685057947617e-06,1.7385317191916574e-07,5.156006567135334e-07,1.512283004222856e-05,3.6004753384285624e-06,1.9311874386313818e-07,5.991495916447363e-07,2.7298607731196498e-05,3.659983951390818e-06,1.9161546745082877e-07,5.928629047268323e-07,0.000158300630952425,2.462525625985209e-06,1.4643371799532674e-07,7.114030795514258e-07,2.498929530591515e-05,2.1454214115834423e-06,2.1762742356463681e-07,5.508928415910296e-07
5.545006098424008e-06,1.2254645234127446e-08,9.641566099666964e-11,1.2095022973098322e-09,2.6643222156474954e-05,7.543408738690248e-09,4.855405337032973e-10,4.0781050162092664e-09,4.291117026461472e-06,2.316609488374276e-08,1.3619513740421526e-09,3.674541415745255e-09,3.9525813112951324e-05,2.0961713901607917e-07,2.355019380724465e-10,2.48747169852033e-08,5.581641222730794e-07,1.79697628080182e-08,1.137903262159341e-09,5.764303168258028e-09,4.89298268016533e-05,1.8082745946544725e-09,1.9014998202026867e-09,2.9598241891762576e-08
4.965989463681684e-05,2.942478563245022e-07,2.3783183587202137e-08,3.264630145812184e-10,0.00010145228799185301,3.631197942527939e-07,2.6018144566064126e-08,1.3567912056720621e-08,4.006770463986049e-05,3.1056546463875895e-07,1.2182735364351312e-08,3.790449154134138e-10,0.00010982921853803189,6.944760161958866e-07,2.513455481366267e-08,3.2151293317742975e-08,2.2121576061132163e-05,2.765924946121367e-07,1.2299898285108314e-08,1.130845312731986e-08,0.00012142882988335345,1.8358612439380416e-07,3.30103674497616e-08,3.690922580795838e-08
1.0809474172846144e-05,7.948215862153321e-07,3.182866186250761e-08,9.664898771530458e-09,7.859981568886634e-06,3.035568787408231e-07,2.436424091687624e-08,1.27729737226843e-08,3.2782737024952115e-05,1.0735262339598882e-06,3.619398323444477e-08,2.7448771680910092e-08,4.0329646782195143e-05,1.2935497795402239e-06,3.0667043801919545e-08,5.497680473616877e-08,2.0548689147293377e-05,9.98854519837412e-07,3.800140118467143e-08,3.790933321174795e-08,4.009540924805425e-05,2.354060147126153e-07,1.6992932745359295e-08,8.266101927818504e-08
2.2899427080007202e-05,3.600382194045371e-07,5.967868389874032e-09,1.4475863729104762e-11,4.948825524851391e-05,3.466167372864893e-07,7.480087282579675e-09,5.5537346203190145e-09,3.1508514995165305e-05,4.592133689352451e-07,2.4703624144875395e-09,1.0532787285655117e-10,6.410699277490036e-05,7.44057083723233e-07,6.540663701491754e-09,2.0066299674387193e-08,1.0022752175900302e-05,3.656077076187994e-07,1.6745567234309034e-09,6.461828196378268e-09,6.706078986819735e-05,9.36309255253417e-08,1.378489253009486e-08,3.2287273061479876e-08
8.98495806355672e-06,3.2420168957803354e-07,3.122284801050982e-10,6.733399012385594e-11,1.721013950461585e-05,2.15258869666949e-07,3.461552381644558e-11,1.6847056691102593e-09,2.10990362468471e-05,4.5391291504800846e-07,1.1169008894325013e-09,1.0823401109786869e-09,3.338749811100518e-05,6.229346464854391e-07,2.1974223982779367e-10,1.2896904250088506e-08,6.784307063602416e-06,3.7202758707407585e-07,1.7821744908952913e-09,4.79186359134156e-09,3.0811146654577724e-05,3.0555173971693985e-09,1.3910476935617112e-09,3.268876345249e-08
