s1-f1,s1-f2,s1-f3,s1-f4,s2-f1,s2-f2,s2-f3,s2-f4,s3-f1,s3-f2,s3-f3,s3-f4,s4-f1,s4-f2,s4-f3,s4-f4,s5-f1,s5-f2,s5-f3,s5-f4,s6-f1,s6-f2,s6-f3,s6-f4
6.453832337904562e-06,3.9158601979083584e-07,1.118253176049417e-08,3.3710656616870573e-09,3.355826721581974e-06,9.791811527852917e-08,4.415602849084069e-09,2.282433016651783e-09,1.3079056009037795e-05,3.16239327229547e-07,5.546498198802096e-09,4.136614844962215e-09,1.5156336349356143e-05,3.5110766089243175e-07,3.989575450601626e-09,7.012439549949619e-09,7.102953215888263e-06,2.410064431050834e-07,3.798107393929057e-09,3.692594668939694e-09,1.34992096275876e-05,5.468375174443593e-08,1.5456628088319924e-09,7.308771393030857e-09
1.3672178742948503e-05,1.7738060434484303e-07,2.0967226991979423e-09,5.0491048374134986e-12,2.112905837143798e-05,1.1180790163567382e-07,1.3556381595897883e-09,9.924100321780234e-10,1.2570690240711413e-05,1.3527506105856543e-07,3.7856736003855654e-10,1.5873236424263055e-11,2.40921312822182e-05,2.0195909455402986e-07,8.508962097115903e-10,2.559510581473273e-09,3.4645100370910644e-06,8.821486155897137e-08,1.6736609900010765e-10,6.294205233384634e-10,2.257783814156553e-05,2.1750040215753124e-08,1.2538621806369699e-09,2.8547954014038776e-09
5.3644989550893744e-06,1.5972496398321568e-07,1.0969687982449807e-10,2.34857402376044e-11,7.347885682119266e-06,6.943589254905462e-08,6.273472919099314e-12,3.0104405802453943e-10,8.4177070571988e-06,1.3371365350438958e-07,1.7115797206819525e-10,1.6311200451589896e-10,1.254739854199001e-05,1.6908288345431642e-07,2.8586982532118287e-11,1.6450348809692657e-09,2.345094391645684e-06,8.976386822806215e-08,1.7812211918837122e-10,4.667560321580817e-10,1.0373410207221493e-05,7.097828617573647e-10,1.2652852320839322e-10,2.890294618689309e-09
1.032399015598838e-05,4.2291752565443137e-07,2.8098158260429477e-10,4.807846178913183e-10,6.263295948290318e-06,1.2586181559391897e-07,4.2521045235977926e-10,5.139986655294888e-10,1.3922001891291883e-05,3.178335589908849e-07,2.504510075014973e-11,1.0340669135270088e-09,1.8116991766236333e-05,3.6497847978250547e-07,1.3043791341256894e-10,3.527529618851358e-09,7.639672115662199e-06,2.432168127948301e-07,7.95534828721248e-12,1.4778603296495522e-09,1.5074481775439203e-05,2.1653831849759668e-08,7.735422402825795e-10,5.267738632025151e-09
6.932041214454402e-06,6.967358758793832e-07,4.218768140108885e-11,1.3678369733632715e-12,2.9028804287713035e-06,2.2387182161454823e-07,1.9965892387255244e-10,9.449917120239266e-12,1.1626130968861165e-05,5.063453670060249e-07,5.155425470973325e-13,4.69655962095983e-10,1.328806679999872e-05,5.533708190595029e-07,2.977286520575018e-11,2.3039472933095325e-09,7.859693299168643e-06,4.052938369790362e-07,7.242627683891722e-13,8.122248004306928e-10,1.1213173725805972e-05,5.558593635769005e-08,5.93971045978609e-10,4.131427141567814e-09
1.1039931028733495e-06,1.7300097359099795e-07,3.2863565766184016e-08,4.8517727383840356e-09,1.123121933622117e-08,1.4333094820644636e-07,1.589030935149366e-08,4.918215534980411e-09,1.9742450792878417e-07,8.347917290832612e-08,1.6347374026328703e-08,2.5271041215154745e-09,3.9603052821160544e-07,4.1016926648632214e-08,1.192564841470112e-08,6.802511640032116e-09,2.004287628114571e-06,8.17617605135221e-08,1.1038757014037279e-08,3.2701075198630794e-09,4.166111195632042e-07,1.9356056678404735e-07,6.515795214278669e-09,6.440028664091205e-09
6.582825682009716e-05,1.8167969381510313e-07,3.8361244676616654e-10,2.3086432965629092e-10,4.0893226098280495e-05,6.900589765392579e-08,1.1751138051873495e-10,2.436086764772595e-10,4.29217899062613e-05,1.0940851542267919e-07,2.5104419611822764e-10,1.570296815408009e-10,4.6934029635744564e-05,1.1490283033959185e-07,1.396810331211606e-10,4.010697005194071e-13,1.7908794736674692e-05,5.931259411922169e-08,3.4668338362840134e-10,8.085709377256325e-11,4.030244047026492e-05,3.862259916966101e-08,1.829210169680018e-11,6.106742138301627e-11
4.1997267944796136e-05,5.049509109899807e-07,2.3222705510970952e-08,1.3542430150765034e-07,2.9491091941793635e-05,2.575673878680327e-07,1.1233259975984577e-08,7.12464233458835e-08,2.3235004657140627e-05,2.9180253169502476e-07,1.1696873777271527e-08,5.311505691539678e-08,3.40223903498771e-05,3.359006987885926e-07,8.491892412971889e-09,5.873665275911051e-08,8.130811103514442e-06,1.9727759629546954e-07,8.3625742584412e-09,3.940204830267646e-08,3.0417064390185313e-05,1.4712711421373268e-07,4.9700448028717314e-09,4.386778067635419e-08
1.1755792360418338e-05,3.6613183534820915e-07,8.574448375420856e-08,1.1072454988726811e-07,3.232231987763392e-06,3.383634604607539e-07,4.516025304582356e-08,6.571524723029846e-08,2.1101997574631973e-05,1.6444408090467342e-07,4.21046688292028e-08,3.309571599433822e-08,4.1911729121710394e-06,2.0900476295828056e-07,3.198612142784533e-08,4.165971099611307e-08,4.4133399457382515e-05,9.184772341221792e-08,2.9399238757212476e-08,2.8143254448073697e-08,3.987781866186954e-06,2.978515112724405e-07,2.388398011323097e-08,2.7211725600769368e-08
4.6122722322325046e-07,9.583274210279062e-08,3.129790117080317e-09,3.903064965336493e-08,1.0792528892594032e-05,3.6930564237382114e-07,2.4723598155370847e-09,6.413910241155008e-09,5.499693888184845e-06,1.2671475701033894e-07,7.348100103580902e-10,5.43266214272718e-09,2.837113836228618e-09,8.988158658401907e-08,1.0677536109098794e-09,8.59574996897733e-09,4.5346856388088264e-06,3.211331254100384e-08,1.497002799883946e-09,9.568854248610886e-09,4.826160300655489e-08,1.2342796596374181e-08,4.5753657465345066e-10,5.477434799653679e-09
5.442283213325329e-05,4.839788587907363e-07,1.5015708241916745e-08,3.7634727403776816e-08,4.221372742609622e-05,2.8567372130887865e-07,7.373174988059749e-09,2.1478666541942727e-08,3.696123695276732e-05,2.997156582681034e-07,7.267857695073449e-09,1.6078662945018687e-08,4.2825184624509315e-05,3.153352330118591e-07,5.503575445867826e-09,1.8079449286108073e-08,2.0388935254002988e-05,2.1474495144300582e-07,5.170604818834455e-09,1.1852961910417448e-08,3.773405590215265e-05,1.4956186753202962e-07,3.1501151361421534e-09,1.4276223944049765e-08
4.572578789736134e-05,9.709896873998453e-09,1.2291284964268885e-08,1.4666071536124874e-07,5.564758146870694e-06,9.291879026887553e-08,5.75761096821899e-09,4.6164157593341666e-08,1.8259868367597165e-05,2.0236317137851643e-08,4.648172012631743e-09,5.331166480041974e-08,1.3775448898010575e-05,3.731343826335565e-08,4.721728716730152e-09,3.4588293159812594e-08,5.136166848966422e-05,1.1155727515122966e-09,2.0354317227896485e-09,3.373976248950379e-08,1.0532928350654988e-05,1.0727910118799796e-09,3.91034236425887e-09,2.3292540475024588e-08
0.0003189736312979627,1.2068028508732236e-06,1.7258764029606073e-07,1.545760568023749e-08,0.00014664428498797473,2.5228716490282804e-07,9.709164745209432e-08,2.3950709779737143e-09,0.0001363554360022474,5.60891185286454e-07,6.470329419645451e-08,4.5785272817111585e-10,0.00023697423340675596,6.97392112136557e-07,6.337167181186633e-08,6.7859635759946515e-09,0.00026174297557722125,7.403384690404972e-07,5.184303514502228e-08,7.074221735880067e-09,0.00021200261101424862,1.0487662152574984e-06,3.990964582693208e-08,3.171369279545736e-09
0.00030871392012715335,2.4891956770550797e-06,5.421683631692624e-08,2.1119283291452808e-07,0.00012711445768012565,8.478512473864588e-07,3.146271418780031e-08,7.48861200920842e-08,0.0001266307609618118,1.2090183087084608e-06,1.9739892986187883e-08,5.8010255182520896e-08,0.0001898982539705965,1.2663094761840816e-06,1.97644157907082e-08,6.779451104347671e-08,0.0002541823673096904,1.385521569680274e-06,1.8205558498514054e-08,5.977251672926615e-08,0.00016604080392324005,1.473228017712879e-06,1.2287745485634841e-08,4.459359513928774e-08
1.1776731430177468e-05,1.0910764321509214e-06,6.754352292578707e-10,3.498044991170848e-08,3.7105346695159456e-05,6.442525954637316e-07,1.7247971572842122e-10,4.0743432792741876e-08,7.70768919915801e-08,7.746077529227283e-07,3.396278041587662e-09,2.6900778122635957e-09,4.9190345805242875e-05,3.094268539173104e-07,2.316540068450541e-10,3.8394565131939706e-08,6.04989499768026e-05,2.6111586904058537e-07,1.252497827977438e-10,2.8780639244714448e-08,5.520907165543513e-05,2.7049306891073325e-08,9.72229771605249e-10,1.715557967111282e-08
0.0003193645824185066,2.193853533623262e-06,1.2238750439223435e-07,6.62926785889079e-08,0.00015349937069257695,6.852404708997728e-07,6.985339519863968e-08,2.224977299949547e-08,0.00014041315620001507,1.1082294122627176e-06,4.443271163959603e-08,1.2495154539003513e-08,0.0002398766020063934,1.2861715125806335e-06,4.50025596647986e-08,2.8435780831185173e-08,0.00027582180236441643,1.3086892076803972e-06,3.743113547287901e-08,2.5050045883640964e-08,0.00021418455748884756,1.4674713286360217e-06,2.9086194955735884e-08,1.7640262971053965e-08
0.0001771539759265786,3.0095589363165e-07,7.399384758523863e-08,3.5208705005632666e-08,0.0001360755627286293,7.811283258218101e-08,4.2066944792385774e-08,2.392506753992165e-08,6.466631640045254e-05,1.2069798290550639e-07,2.1847518328394985e-08,3.615784407689023e-09,0.00018570320548134627,3.008008155970438e-07,2.7393492349271965e-08,2.782230075415375e-08,0.00020020692078582563,3.0174446102119804e-07,2.2101615095705966e-08,2.217228024674701e-08,0.00017739425748291389,5.957112018797801e-07,1.5683556955748456e-08,1.3901425184714819e-08
0.00019920718257587772,4.2428750586779187e-07,1.2933863082098613e-07,9.220579893941296e-09,0.00015188945017908945,1.2949047169018057e-07,7.189360135044873e-08,7.891008014926589e-09,7.951169218362298e-05,1.8925515822929277e-07,4.276006806536806e-08,1.822779547084766e-11,0.00020581706223479253,3.8635469148874154e-07,4.7798216141826844e-08,1.2134244165318752e-08,0.0002029797793639541,3.663674953550863e-07,3.7484072590782005e-08,9.780430454723338e-09,0.00019490574093565213,7.45039134651911e-07,2.8495238347907998e-08,4.941049729288039e-09
