Network,Geodesic,Functional,Structural
2,0.718668460845947,0.2633087,0.50846153
2,0.734497368335724,0.29139742,0.44637814
2,0.684468448162079,0.38070467,0.3961037
2,0.788751065731049,0.42401946,0.42364025
2,0.711836457252502,0.46410987,0.4547922
2,0.547087013721466,0.33380893,0.17031367
3,0.481599390506744,0.5984951,0.3891472
5,0.384053766727448,0.6962395,0.54610515
4,0.382221698760986,0.4680941,0.41748676
4,0.423451066017151,0.45000705,0.14250174
6,0.190989956259727,0.72182024,0.5769382
7,0.341308653354645,0.5703071,0.2242178
6,0.459939897060394,0.37323225,0.2994331
7,0.233213797211647,0.6860876,0.3250408
6,0.221012905240059,0.66743964,0.41782257
6,0.157104030251503,0.62865645,0.106739
6,0.602930188179016,0.2922421,0.23087464
7,0.641721308231354,0.5131403,0.11678081
7,0.367654323577881,0.39456064,0.48185894
7,0.559603810310364,0.2510577,0.3393628
7,0.554030776023865,0.4121459,0.27467722
6,0.375730335712433,0.5434602,0.53230846
6,0.517206370830536,0.3550363,0.14392266
6,0.352580726146698,0.24179088,0.17087625
6,0.255559146404266,0.2391767,0.20731393
6,0.183043286204338,0.23676422,0.24764068
6,0.26107919216156,0.27021435,0.44819137
6,0.442659974098206,0.43564266,0.15195338
5,0.468461096286774,0.36530915,0.019927245
4,0.50833797454834,0.32475808,0.015712896
6,0.407455384731293,0.37580383,0.093380496
6,0.353410601615906,0.37215012,0.19301303
6,0.452016711235046,0.313119,0.14884166
5,0.503076791763306,0.3954,0.17297757
6,0.383065760135651,0.34061182,0.28187817
5,0.505461096763611,0.4155699,0.24400422
7,0.49555766582489,0.29662034,0.41474485
5,0.21146659553051,0.62041783,0.5471215
6,0.365610718727112,0.35176748,0.56393313
5,0.30282735824585,0.5190782,0.6773028
5,0.216436073184013,0.50949985,0.48255384
5,0.108149513602257,0.73040694,0.32427025
5,0.103406131267548,0.85726863,0.6093265
6,0.077398300170898,0.5856953,0.3277028
3,0.807234466075897,0.29137823,0.17847084
3,0.750232636928558,0.3776592,0.2052765
5,0.685539484024048,0.35536984,0.1915856
6,0.660232424736023,0.29269296,0.16745616
3,0.40574848651886,0.35565647,0.13548581
2,0.43443375825882,0.34986016,0.1825807
2,0.408244788646698,0.35076,0.07921434
