labels,geodesic,myelin,Michigan_FEOBV,Aghourian_FEOBV,Bedard_FEOBV,Tuominen_FEOBV,functional,abs_functional,structural,wresidC
105,0.4640543758869171,0.7229518,0.44294026,0.39307088,0.2623457,0.4234413,0.38632559012512546,0.35806375648108324,0.11841638783675004,0.39029429691764395
149,0.7267186641693115,0.66397494,0.2543047,0.2919352,0.22754547,0.17134614,0.3193063778615941,0.2534937676478267,0.26446148589620766,0.03203644734298918
150,0.6819661259651184,0.68811697,0.31665745,0.34367692,0.22792813,0.21983217,0.3651508756757136,0.39396050143085315,0.162814132580992,0.48090769560107866
149,0.6472232341766357,0.65281504,0.054805104,0.3136077,0.2406685,0.23086081,0.3193063778615941,0.2534937676478267,0.26446148589620766,0.03203644734298918
144,0.7597988247871399,0.72240126,0.3178394,0.3184139,0.19290558,0.17335857,0.2606551234042991,0.2761604450298081,0.08254030863631859,0.17196172229260384
149,0.8091883659362793,0.6745651,0.30321974,0.225201,0.14664817,0.16918252,0.3193063778615941,0.2534937676478267,0.26446148589620766,0.03203644734298918
15,0.817359209060669,0.7002315,0.12043835,0.29065996,0.1940467,0.19520117,0.5679961977136765,0.5246672571510765,0.5443656814947152,0.051608099936978555
152,0.8392152190208435,0.7673154,0.23578659,0.2680381,0.13598165,0.17938237,0.05935656198389161,0.06211586816007875,0.42741605308759223,0.046122383956439625
17,0.9136452674865723,0.7290597,0.28381917,0.2870654,0.15989497,0.19707845,0.060190810896542324,0.09043298514749662,0.3071151857018221,0.08064534811364689
45,0.8234946131706238,0.65317494,0.196984,0.33955634,0.22620043,0.20286341,0.3050161359611252,0.2820214390165795,0.48208501255439506,0.17535523566281946
