labels,geodesic,myelin,functional,structural,fused,funcG1,diffG1,funcG2,diffG2,wresidC
97,0.6846984,0.68331015,0.4085831045244168,0.1871385426245681,0.2866744192053301,0.322347480331009,0.6150768144158778,0.5139549956456155,0.7361566498803397,0.07254648742065102
51,0.6889172,0.76799154,0.3244980839735913,0.5126800133440961,0.531733046944503,0.4525965424408187,0.722876825928181,0.7448945272369177,0.5734396445045219,0.028072907458137782
147,0.53944767,0.6640822,0.291698968824098,0.1957720886447322,0.2287290867069655,0.9146283663328808,0.6258163040807475,0.5192601924139325,0.5572804179023655,0.6468493770332069
51,0.8581051,0.764289,0.3244980839735913,0.5126800133440961,0.531733046944503,0.4525965424408187,0.722876825928181,0.7448945272369177,0.5734396445045219,0.028072907458137782
95,0.78294194,0.7390867,0.1944133151031413,0.1344887945114771,0.1266257138086919,0.7998292904941858,0.7559496110392055,0.1732544963500002,0.7262494028173195,0.37052821787460566
55,0.7022385,0.7070981,0.5246822794342343,0.4304259649369701,0.6041133394784972,0.6067374125581402,0.5916444815869455,0.7031212181491374,0.6933986014598341,0.06640897126366435
37,0.759084,0.68510765,0.4470000185968867,0.3019508672793431,0.4219154008855773,0.749882458439193,0.7711093517418757,0.5394910704406662,0.8343800681874125,0.300633831085593
63,0.5250691,0.63273025,0.418473588048843,0.2949241348828116,0.4268010752691077,0.5288909116170664,0.5677976045744847,0.1404180895249881,0.8799379746587055,0.035417964292582614
64,0.31496772,0.62353504,0.7151561234470756,0.3196046596846161,0.560709955655623,0.1950573706068585,0.2149311907926318,0.697693096894641,0.8981842074457527,0.14249978621224016
0,,,,,,,,,,
77,0.35575673,0.6474795,0.3038068525606174,0.4659118139251212,0.488842567659229,0.4131152443527431,0.5899218577526971,0.2839156426139025,0.572588278239214,0.03215967460905966
93,0.13274962,0.62629175,0.8686867816315593,0.6012309901829412,0.8758167205987153,0.4336181271672957,0.1724537520781829,0.1627958333026646,0.4756961655522692,0.022321289047910454
108,0.29337737,0.6491175,0.3133450914143649,0.0724439708294111,0.0911590190453315,0.9875033418282386,0.6313861454365549,0.4035370060776302,0.6805375551197524,1.0
104,0.41648644,0.8424751,0.5042087882718351,0.0728444772448974,0.2038068328378404,0.5838645025119288,0.645944800055679,0.6374906712566342,0.6932362898113091,0.05106803437708704
178,0.25498366,0.6757252,0.5350631659288281,0.281834501136636,0.4470093090521644,0.7738937264953829,0.818692569793328,0.3965760134159167,0.5731072062594211,0.2659027587652716
28,0.57113415,0.66806376,0.4070961987398127,0.1020792615424769,0.1760414149031399,0.6424850124996351,0.7096367211569733,0.3659187153540181,0.6980590440005756,0.1070010821742539
150,0.7631121,0.6702928,0.3651508756757136,0.162814132580992,0.2349662593397856,0.1231012550434156,0.7618198995287282,0.6322007408211411,0.7116164613520926,0.48090769560107877
137,0.69534355,0.64427257,0.268586570351677,0.2586163348539184,0.3072561408848622,0.8487267494389805,0.7699183344491543,0.1762673183550012,0.608460831432006,0.4660843278773053
19,0.9532405,0.77939004,0.022360498586508,0.2346096508156791,0.1148594094825035,0.6055946577191675,0.8878435257949493,0.4077049111345415,0.6641018993949934,0.04311998968038859
15,0.753357,0.76367754,0.5679961977136765,0.5443656814947152,0.7265351510612912,0.369988602499411,0.7874879484574895,0.2298741637088264,0.875403486375653,0.0516080999369781
1,0.7629351,0.8084634,0.5662171955216908,0.806549143427706,0.7972309776361981,0.6692759782978678,0.9158740207372345,0.2446437901854343,0.539465272530272,0.101812215103344
