geodesic,myelin,functional,structural,fused,funcG1,funcG2,diffG1,diffG2,wresidC
0.563147,0.6696246,0.2850204,0.1637783,0.18028162,0.6024386,0.33895525,0.7255412,0.6746682,0.07515538
0.60155755,0.64061373,0.22445075,0.31034037,0.30378175,0.36930534,0.40305567,0.662569,0.7763488,0.054733917
0.7621436,0.6875977,0.549474,0.4131846,0.6257254,0.47298324,0.46615127,0.7189154,0.91379344,0.046214577
0.5735335,0.6914569,0.3938675,0.10784009,0.17548501,0.61272234,0.38136485,0.71308786,0.699047,0.1225855
0.80695134,0.68436635,0.42847577,0.43434453,0.55503917,0.36342028,0.47337118,0.8301227,0.819995,0.07804668
0.7271997,0.71599376,0.48043677,0.47677988,0.604231,0.0264156,0.80256695,0.53199166,0.98004305,0.5886876
0.6236461,0.73156804,0.60084015,0.4373589,0.62470424,0.12174969,0.8419658,0.70887643,0.89110297,0.4618214
0.579083,0.70471364,0.58489496,0.46616092,0.6287242,0.23720008,0.37183866,0.14376904,0.8507205,0.10742361
0.63818026,0.7394869,0.55670863,0.36744592,0.5338579,0.017358,0.91195977,0.5290718,0.97324336,0.61159235
0.6537659,0.7638033,0.593839,0.37565276,0.55389595,0.08476472,0.68239874,0.30936775,0.9280728,0.39607576
0.6979796,0.7126632,0.47502246,0.3630708,0.4910286,0.03673644,0.75047,0.29481798,0.92484033,0.4810231
0.7584869,0.78173,0.3655418,0.33387527,0.41653764,0.4186368,0.68394,0.72658354,0.76608753,0.015990445
0.7094903,0.68389755,0.44160435,0.30843756,0.4259311,0.7267329,0.5491067,0.7754036,0.8252745,0.27639496
0.6476108,0.66289574,0.48633292,0.29759896,0.43711913,0.79297906,0.37947634,0.47597533,0.9713863,0.53302884
0.8282016,0.68065584,0.38094965,0.39986256,0.48668307,0.48168257,0.6528833,0.83538353,0.70590484,0.0076595694
0.61760545,0.7627467,0.5034056,0.2712925,0.44205022,0.5312573,0.69902134,0.52339995,0.89877254,0.047516745
0.5331221,0.6841816,0.5205393,0.1260737,0.2702295,0.6380004,0.66414195,0.5102827,0.8996875,0.16621391
0.8676481,0.6726008,0.30300635,0.46813998,0.48951384,0.6721441,0.55788994,0.877747,0.65174955,0.107713155
0.566137,0.6848769,0.4106809,0.28249305,0.3745408,0.83182096,0.606632,0.6009247,0.7767012,0.57899594
0.6869296,0.6545659,0.43494955,0.3347329,0.44746718,0.8145519,0.4528957,0.64604264,0.730637,0.44515675
0.83204806,0.6592415,0.31480303,0.4694314,0.504747,0.68977314,0.42326722,0.9106063,0.7116997,0.16002956
0.87020665,0.69889504,0.24726234,0.41018534,0.4192984,0.6580593,0.4347838,0.9141343,0.6754171,0.10632977
0.8116854,0.7101688,0.2660436,0.39982098,0.41199553,0.65372354,0.5729685,0.8225945,0.63796324,0.07984669
0.82768863,0.75151205,0.07338979,0.32189766,0.2544342,0.6985019,0.3977314,0.85652304,0.6713588,0.14344576
0.8894862,0.7076803,0.13578734,0.42062944,0.36189038,0.6539655,0.4746247,0.906429,0.6473049,0.07950154
0.8869037,0.72127736,0.15440433,0.33739215,0.31236175,0.7113282,0.34650505,0.889485,0.69167894,0.16333893
0.72079325,0.77183515,0.3304168,0.50846153,0.53308874,0.45446295,0.7431416,0.7221894,0.57719034,0.02743421
0.7354123,0.7321431,0.35469955,0.44637814,0.5053633,0.53625447,0.6746831,0.75382614,0.5898669,0.020938765
0.68920714,0.82305026,0.43682134,0.3961037,0.52034557,0.5170956,0.7260405,0.64912415,0.6592317,0.01631737
0.7855195,0.76583266,0.4765229,0.42364025,0.5738615,0.4990566,0.6850568,0.55750066,0.6866403,0.018031048
0.71448344,0.75033844,0.5129589,0.4547922,0.6134272,0.5914691,0.70986444,0.5925503,0.69139975,0.058352616
