labels,geodesic,functional,structural
176,0.38359803,0.4253226257739384,0.26562424092369635
172,0.4130071,0.5444267910880161,0.25348821590196485
135,0.4844697,0.7898056349909961,0.3191164551594266
138,0.70050967,0.21774271281081603,0.23413232514230045
136,0.5872469,0.5223326916507416,0.40010271557973354
163,0.5747404,0.40115373241571195,0.3225649094631079
4,0.6998043,0.343755586610202,0.38554145698036885
6,0.6371347,0.2699418873061452,0.6655899910083684
127,0.52375543,0.6164668052531539,0.47035512177728567
0,0.0,,
120,0.436314,0.9004124746271129,0.5720580170652286
54,0.7648424,0.469833884071134,0.35284899469388914
10,0.7521903,0.30920462065267573,0.4466535570589631
54,0.8048564,0.469833884071134,0.35284899469388914
8,0.7791162,0.44442243189164365,0.2837752197812288
8,0.74547625,0.44442243189164365,0.2837752197812288
8,0.8310465,0.44442243189164365,0.2837752197812288
53,0.80651224,0.4371579939774053,0.41276080318713343
54,0.86113787,0.469833884071134,0.35284899469388914
8,0.8653094,0.44442243189164365,0.2837752197812288
96,0.80910337,0.3851151858622317,0.12303596053224948
87,0.55528206,0.34172448029758096,0.21853327930051977
87,0.51970786,0.34172448029758096,0.21853327930051977
71,0.59435326,0.42465470366785585,0.30551528562183056
86,0.5267868,0.43708694755963684,0.23862212922267112
170,0.5099988,0.5669627060967515,0.04622292364022449
86,0.55913484,0.43708694755963684,0.23862212922267112
86,0.48612064,0.43708694755963684,0.23862212922267112
99,0.4371953,0.37740747083652426,0.13157358733436644
99,0.3866442,0.37740747083652426,0.13157358733436644
113,0.44426483,0.32378489460632576,0.4629427472958607
100,0.48960692,0.41238924345015215,0.12317449151570474
100,0.45793086,0.41238924345015215,0.12317449151570474
149,0.73308694,0.31930637786159677,0.23930714573061668
149,0.7112592,0.31930637786159677,0.23930714573061668
149,0.7007889,0.31930637786159677,0.23930714573061668
149,0.7763317,0.31930637786159677,0.23930714573061668
149,0.77236444,0.31930637786159677,0.23930714573061668
46,0.8988807,0.2109923613296063,0.45868680851708177
46,0.89509016,0.2109923613296063,0.45868680851708177
50,0.9395582,0.1536957732882125,0.39127254872794875
45,0.89393526,0.3050161359611243,0.30870049142183287
45,0.8720701,0.3050161359611243,0.30870049142183287
41,0.5446267,0.5213825044902944,0.22898931267959471
57,0.5582938,0.6396070731031709,0.15106792168494518
40,0.6073025,0.5121071972130471,0.36789856345193483
164,0.10838836,0.8640882746245975,0.3277996246219532
0,0.0,,
0,0.0,,
109,0.19927986,0.3702899012227028,0.06439308298977979
106,0.18383141,0.5214696646917778,0.1050220422013289
112,0.139085,0.9270115492636344,0.053499249757465575
130,0.5404124,0.2547076721896788,0.09739065536657912
130,0.5379472,0.2547076721896788,0.09739065536657912
176,0.49315202,0.4253226257739384,0.26562424092369635
4,0.88184005,0.343755586610202,0.38554145698036885
4,0.8174811,0.343755586610202,0.38554145698036885
21,0.8332491,0.1253560536043965,0.18102990446775014
31,0.6048509,0.6123637838128997,0.4613292673549857
121,0.59586155,0.5898724244711162,0.6623908421923779
1,0.6482134,0.5662171955216913,0.0
