Geodesic,Myelin,Michigan_FEOBV,Aghourian_FEOBV,Bedard_FEOBV,Tuominen_FEOBV,functional,structural,funcG1,diffG1,wresidC
0.95029753,0.5800395,0.22881861,0.31894642,0.0483284,0.121459186,0.03374512,0.26363713,0.6037078,0.895848,0.040945932
0.8643898,0.5396129,0.22878142,0.3971327,0.12378442,0.14713252,0.1117123,0.25447786,0.56387687,0.8607825,0.019002022
0.78818727,0.5034838,0.07679233,0.318224,0.13583887,0.09243381,0.143016,0.26988488,0.5757714,0.851304,0.030232558
0.74008656,0.48847973,0.27924877,0.29933113,0.1479094,0.12749046,0.26109302,0.29891506,0.58414173,0.8476059,0.036949027
0.77469075,0.6574627,0.418319,0.3897099,0.14532661,0.2446323,0.19326134,0.18641947,0.4860553,0.81925845,0.0026011486
0.36092705,0.9714533,0.7679041,0.9029662,0.41044855,0.6409365,0.75570494,0.090280205,0.64055675,0.67114335,0.107125156
0.54797643,0.33194125,0.43570876,0.43092912,0.19757307,0.26099402,0.2850204,0.1637783,0.6024386,0.7255412,0.07515538
0.58956563,0.25830698,0.38626015,0.42893988,0.049543142,0.16393226,0.22445075,0.31034037,0.36930534,0.662569,0.054733917
0.7634407,0.37756026,0.43304706,0.51524085,0.13376951,0.25584924,0.549474,0.4131846,0.47298324,0.7189154,0.046214577
0.5592224,0.38735557,0.3423187,0.45401114,0.193843,0.20781797,0.3938675,0.10784009,0.61272234,0.71308786,0.1225855
0.81195647,0.36935854,0.3069653,0.4252197,0.11045098,0.18891072,0.42847577,0.43434453,0.36342028,0.8301227,0.07804668
0.725605,0.4496343,0.41465253,0.44837826,0.16468966,0.25311947,0.48043677,0.47677988,0.0264156,0.53199166,0.5886876
0.613482,0.4891646,0.399908,0.32037514,0.08612847,0.22287911,0.60084015,0.4373589,0.12174969,0.70887643,0.4618214
0.56523114,0.4210037,0.6173728,0.7713476,0.3598634,0.4700687,0.58489496,0.46616092,0.23720008,0.14376904,0.10742361
0.62921894,0.5092639,0.39751238,0.34185916,0.14884794,0.25987512,0.55670863,0.36744592,0.017358,0.5290718,0.61159235
0.64609444,0.5709833,0.51671875,0.6228406,0.29897738,0.34906352,0.593839,0.37565276,0.08476472,0.30936775,0.39607576
0.69396687,0.44118083,0.4033562,0.51623315,0.2564646,0.25647467,0.47502246,0.3630708,0.03673644,0.29481798,0.4810231
0.75948143,0.6164843,0.52983314,0.5212478,0.13283384,0.3633821,0.3655418,0.33387527,0.4186368,0.72658354,0.015990445
0.70643014,0.3681687,0.46258748,0.5550749,0.14074564,0.24486846,0.44160435,0.30843756,0.7267329,0.7754036,0.27639496
0.63942987,0.3148625,0.45641053,0.7495361,0.25406313,0.3416866,0.48633292,0.29759896,0.79297906,0.47597533,0.53302884
0.8349652,0.35994065,0.30919755,0.3888299,0.11513007,0.22261006,0.38094965,0.39986256,0.48168257,0.83538353,0.0076595694
0.6069415,0.56830144,0.74660724,0.86210734,0.2924912,0.51157,0.5034056,0.2712925,0.5312573,0.52339995,0.047516745
0.5154669,0.36888945,0.82212967,1.0,0.43162882,0.48018634,0.5205393,0.1260737,0.6380004,0.5102827,0.16621391
0.8776761,0.33949554,0.24545862,0.40248746,0.11578405,0.14743316,0.30300635,0.46813998,0.6721441,0.877747,0.107713155
0.5512138,0.37065434,0.5990016,0.6557253,0.19625497,0.34678066,0.4106809,0.28249305,0.83182096,0.6009247,0.57899594
0.6820024,0.29371977,0.31449085,0.45461887,0.09595156,0.20364809,0.43494955,0.3347329,0.8145519,0.64604264,0.44515675
0.8391299,0.3055873,0.33567774,0.38348466,0.11294842,0.17859036,0.31480303,0.4694314,0.68977314,0.9106063,0.16002956
0.8804464,0.40623498,0.16281311,0.33846194,0.08501792,0.15198404,0.24726234,0.41018534,0.6580593,0.9141343,0.10632977
0.8170823,0.43484962,0.19591616,0.3292877,0.06969607,0.14477062,0.2660436,0.39982098,0.65372354,0.8225945,0.07984669
0.83440983,0.539786,0.27380955,0.30559796,0.044656515,0.14975232,0.07338979,0.32189766,0.6985019,0.85652304,0.14344576
0.90132123,0.42853332,0.22443543,0.36083657,0.08217943,0.12470353,0.13578734,0.42062944,0.6539655,0.906429,0.07950154
0.8985251,0.46304524,0.2566368,0.29355115,0.08115399,0.09052682,0.15440433,0.33739215,0.7113282,0.889485,0.16333893
0.71866846,0.5913696,0.3426261,0.4972641,0.09366107,0.15442085,0.3304168,0.50846153,0.45446295,0.7221894,0.02743421
0.73449737,0.4906242,0.40577775,0.4303711,0.106600285,0.21582848,0.35469955,0.44637814,0.53625447,0.75382614,0.020938765
0.68446845,0.7213625,0.57327306,0.71352094,0.20018363,0.38977945,0.43682134,0.3961037,0.5170956,0.64912415,0.01631737
0.78875107,0.5761342,0.39886564,0.5416556,0.14068282,0.2197454,0.4765229,0.42364025,0.4990566,0.55750066,0.018031048
0.71183646,0.5368072,0.50606084,0.62412447,0.14248788,0.28019196,0.5129589,0.4547922,0.5914691,0.5925503,0.058352616
0.547087,0.40907764,0.28315222,0.6033911,0.19726026,0.14700574,0.35657495,0.17031367,0.78284323,0.5955794,0.36798084
0.4815994,0.20862925,0.82151616,0.99713594,0.4332013,0.7185606,0.6348781,0.3891472,0.7473853,0.17048892,0.51025164
0.38405377,0.07834804,0.72967803,0.8537238,0.20007527,0.4366876,0.7209872,0.54610515,0.6209973,0.13026495,0.297688
0.3822217,0.16691864,0.8814597,0.982945,0.4043753,0.63095,0.46244633,0.41748676,0.8594553,0.1474955,0.87913567
0.42345107,0.2827803,0.7857736,0.92269725,0.3791194,0.459013,0.39542368,0.14250174,0.9208841,0.49660224,0.90476
